target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C76252,1,,,,NCC(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,NCC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,
C82240,1,,,,BrCCI,CC(=O)c1ccc(O)cc1,CC(=O)c1ccc(OCCBr)cc1,Williamson_ether_synthesis,,
C76254,1,,,,C=C(Cl)C(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,C=C(Cl)C(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,
C72340,1,,,,CC=CCI,O=C(CCl)c1ccc(O)cc1O,CC=CCOc1ccc(C(=O)CCl)c(O)c1,Williamson_ether_synthesis,,
C101900,1,,,,C=C(Cl)C(=O)O,NNc1ccc(C(N)=O)cc1,C=C(Cl)C(=O)N(N)c1ccc(C(N)=O)cc1,Amidation,,
C93,1,,,,CCC(=O)c1ccc(O)cc1,CCBr,CCOc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,
C94118,1,,,,NC(CCl)C(=O)O,CC(=O)c1ccc(N)cc1,CC(=O)c1ccc(NC(=O)C(N)CCl)cc1,Amidation,,
C100883,1,,,,NCC(=O)O,NNc1ccc(C(N)=O)cc1,NCC(=O)NNc1ccc(C(N)=O)cc1,Amidation,,
C65989,1,,,,CCC(=O)c1ccc(O)c(Cl)c1,CCCCI,CCCCOc1ccc(C(=O)CC)cc1Cl,Williamson_ether_synthesis,,
C86206,1,,,,NCCCI,COc1cc(C(C)=O)ccc1O,COc1cc(C(C)=O)ccc1OCCCN,Williamson_ether_synthesis,,
C86718,1,,,,N#CCCI,COc1cc(C(C)=O)ccc1O,COc1cc(C(C)=O)ccc1OCCC#N,Williamson_ether_synthesis,,
C93589,1,,,,NC(=O)C(=O)O,CC(=O)c1ccc(N)cc1Cl,CC(=O)c1ccc(NC(=O)C(N)=O)cc1Cl,Amidation,,
C96184,1,,,,CC(C#N)C(=O)O,CC(=O)c1ccc(N)cc1Cl,CC(=O)c1ccc(NC(=O)C(C)C#N)cc1Cl,Amidation,,
C99846,1,,,,N#CCC(=O)O,Nc1ccc(C=O)cc1,N#CCC(=O)Nc1ccc(C=O)cc1,Amidation,,
C107048,1,,,,NC(=O)C(=O)O,CN(C)C(=O)c1ccc2c(c1)CCN2,CN(C)C(=O)c1ccc2c(c1)CCN2C(=O)C(N)=O,Amidation,,
C76267,1,,,,N#CCC(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,N#CCC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,
C82252,1,,,,CC(=O)c1ccc(O)c(N)c1,CCBr,CCOc1ccc(C(C)=O)cc1N,Williamson_ether_synthesis,,
C93594,1,,,,CC(C#N)C(=O)O,CC(=O)c1ccc(N)cc1,CC(=O)c1ccc(NC(=O)C(C)C#N)cc1,Amidation,,
C76270,1,,,,COCC(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,COCC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,
C71882,1,,,,C=C(Br)CI,O=C(CCl)c1ccc(O)cc1,C=C(Br)COc1ccc(C(=O)CCl)cc1,Williamson_ether_synthesis,,
C82256,1,,,,CC(=O)c1ccc(O)c(F)c1,CCBr,CCOc1ccc(C(C)=O)cc1F,Williamson_ether_synthesis,,
C100893,1,,,,NCC(=O)O,NNc1ccc(C(N)=O)cc1,NCC(=O)N(N)c1ccc(C(N)=O)cc1,Amidation,,
C71885,1,,,,NCCCI,O=C(CCl)c1ccc(O)cc1O,NCCCOc1cc(O)ccc1C(=O)CCl,Williamson_ether_synthesis,,
C106543,1,,,,C=C(Cl)C(=O)O,CN(C)C(=O)c1ccc2c(c1)CCN2,C=C(Cl)C(=O)N1CCc2cc(C(=O)N(C)C)ccc21,Amidation,,
C107058,1,,,,N#CCC(=O)O,CN(C)C(=O)c1ccc2c(c1)CCN2,CN(C)C(=O)c1ccc2c(c1)CCN2C(=O)CC#N,Amidation,,
C69827,1,,,,CCCCI,O=C1CCCCc2cc(O)ccc21,CCCCOc1ccc2c(c1)CCCCC2=O,Williamson_ether_synthesis,,
C71897,1,,,,NCCCI,O=C(CCl)c1ccc(O)cc1O,NCCCOc1ccc(C(=O)CCl)c(O)c1,Williamson_ether_synthesis,,
C71899,1,,,,C=C(Br)CI,O=C(CCl)c1ccc(O)c(O)c1,C=C(Br)COc1cc(C(=O)CCl)ccc1O,Williamson_ether_synthesis,,
C71900,1,,,,C=C(Br)CI,O=C(CCl)c1ccc(O)c(O)c1,C=C(Br)COc1ccc(C(=O)CCl)cc1O,Williamson_ether_synthesis,,
C82273,1,,,,O=C1CCc2cc(O)ccc21,CCBr,CCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,
C71905,1,,,,NCCCI,O=C(CCl)c1ccc(O)c(O)c1,NCCCOc1cc(C(=O)CCl)ccc1O,Williamson_ether_synthesis,,
C99880,1,,,,COCC(=O)O,Nc1ccc(C=O)cc1,COCC(=O)Nc1ccc(C=O)cc1,Amidation,,
C71907,1,,,,NCCCI,O=C(CCl)c1ccc(O)c(O)c1,NCCCOc1ccc(C(=O)CCl)cc1O,Williamson_ether_synthesis,,
C82278,1,,,,ClCCI,CC(=O)c1ccc(O)cc1,CC(=O)c1ccc(OCCCl)cc1,Williamson_ether_synthesis,,
C86756,1,,,,C#CCCI,COc1cc(C(C)=O)ccc1O,C#CCCOc1ccc(C(C)=O)cc1OC,Williamson_ether_synthesis,,
C94670,1,,,,NCC(=O)O,CC(=O)c1cc(Cl)c(N)c(Cl)c1,CC(=O)c1cc(Cl)c(NC(=O)CN)c(Cl)c1,Amidation,,
C97770,1,,,,O=C(O)C1CNC1,CC(=O)c1cc(Cl)c(N)c(Cl)c1,CC(=O)c1cc(Cl)c(NC(=O)C2CNC2)c(Cl)c1,Amidation,,
C99881,1,,,,C=C(Cl)C(=O)O,Nc1ccc(C=O)cc1,C=C(Cl)C(=O)Nc1ccc(C=O)cc1,Amidation,,
C82281,1,,,,C=C(Cl)CI,CC(=O)c1ccc(O)cc1,C=C(CI)Oc1ccc(C(C)=O)cc1,Williamson_ether_synthesis,,
C68874,1,,,,CCC(=O)c1ccc(O)c(Cl)c1,COCCCI,CCC(=O)c1ccc(OCCCOC)c(Cl)c1,Williamson_ether_synthesis,,
C103491,1,,,,NC(=O)C(=O)O,NNc1ccc(C(N)=O)cc1,NC(=O)C(=O)NNc1ccc(C(N)=O)cc1,Amidation,,
C236,1,,,,O=C(CCl)c1ccc(O)cc1,CCBr,CCOc1ccc(C(=O)CCl)cc1,Williamson_ether_synthesis,,
C240,1,,,,CC(=O)c1ccc(O)cc1,CCBr,CCOc1ccc(C(C)=O)cc1,Williamson_ether_synthesis,,
C242,1,,,,CC(=O)O,CC(=O)c1ccc(N)cc1,CC(=O)Nc1ccc(C(C)=O)cc1,Amidation,,
C243,1,,,,CC(=O)O,Nc1ccc(C=O)cc1,CC(=O)Nc1ccc(C=O)cc1,Amidation,,
C76319,1,,,,NC(CCl)C(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,NC(CCl)C(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,
C85247,1,,,,C=C(Br)CI,COc1cc(C(C)=O)ccc1O,C=C(Br)COc1ccc(C(C)=O)cc1OC,Williamson_ether_synthesis,,
C94698,1,,,,O=C(O)CCl,CC(=O)c1cc(Cl)c(N)c(Cl)c1,CC(=O)c1cc(Cl)c(NC(=O)CCl)c(Cl)c1,Amidation,,
C103509,1,,,,NC(=O)C(=O)O,NNc1ccc(C(N)=O)cc1,NC(=O)C(=O)N(N)c1ccc(C(N)=O)cc1,Amidation,,
C83003,1,,,,N#CCCI,CC(=O)c1ccc(O)c(F)c1,CC(=O)c1ccc(OCCC#N)c(F)c1,Williamson_ether_synthesis,,
C100440,1,,,,CC(C#N)C(=O)O,Nc1ccc(C=O)cc1,CC(C#N)C(=O)Nc1ccc(C=O)cc1,Amidation,,
C83005,1,,,,N#CCCI,CC(=O)c1ccc(O)c(N)c1,CC(=O)c1ccc(OCCC#N)c(N)c1,Williamson_ether_synthesis,,
C104542,1,,,,N#CCC(=O)O,NNc1ccc(C(N)=O)cc1,N#CCC(=O)NNc1ccc(C(N)=O)cc1,Amidation,,
C104543,1,,,,N#CCC(=O)O,NNc1ccc(C(N)=O)cc1,N#CCC(=O)N(N)c1ccc(C(N)=O)cc1,Amidation,,
C82618,1,,,,CCI,COc1cc(C(C)=O)ccc1O,CCOc1ccc(C(C)=O)cc1OC,Williamson_ether_synthesis,,
C71950,1,,,,N#CCCI,O=C(CCl)c1ccc(O)cc1O,N#CCCOc1ccc(C(=O)CCl)c(O)c1,Williamson_ether_synthesis,,
C71952,1,,,,N#CCCI,O=C(CCl)c1ccc(O)c(O)c1,N#CCCOc1cc(C(=O)CCl)ccc1O,Williamson_ether_synthesis,,
C64992,1,,,,CCC(=O)c1ccc(O)cc1,NCCCI,CCC(=O)c1ccc(OCCCN)cc1,Williamson_ether_synthesis,,
C64993,1,,,,O=C1CCc2cc(O)ccc21,NCCCI,NCCCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,
C97816,1,,,,CC(C#N)C(=O)O,CC(=O)c1cc(Cl)c(N)c(Cl)c1,CC(=O)c1cc(Cl)c(NC(=O)C(C)C#N)c(Cl)c1,Amidation,,
C71958,1,,,,N#CCCI,O=C(CCl)c1ccc(O)c(O)c1,N#CCCOc1ccc(C(=O)CCl)cc1O,Williamson_ether_synthesis,,
C65002,1,,,,O=C1CCc2cc(O)ccc21,C=C(Cl)CI,C=C(CI)Oc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,
C76352,1,,,,CC[S+]([O-])CC(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,CC[S+]([O-])CC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,
C82651,1,,,,CC(=O)c1ccc(O)cc1,NCCCBr,CC(=O)c1ccc(OCCCN)cc1,Williamson_ether_synthesis,,
C105072,1,,,,O=C(O)C1CNC1,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(NNC(=O)C2CNC2)cc1,Amidation,,
C65004,1,,,,CCC(=O)c1ccc(O)cc1,C=C(Cl)CI,C=C(CI)Oc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,
C76356,1,,,,CC(O)C(F)C(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,CC(O)C(F)C(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,
C82652,1,,,,CC(=O)c1ccc(O)cc1,C=C(Br)CBr,C=C(Br)COc1ccc(C(C)=O)cc1,Williamson_ether_synthesis,,
C89662,1,,,,BrCCI,O=Cc1cc(Cl)c(O)c(Br)c1,O=Cc1cc(Cl)c(OCCBr)c(Br)c1,Williamson_ether_synthesis,,
C105073,1,,,,O=C(O)C1CNC1,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(N(N)C(=O)C2CNC2)cc1,Amidation,,
C71983,1,,,,COCCCI,O=C(CCl)c1ccc(O)cc1,COCCCOc1ccc(C(=O)CCl)cc1,Williamson_ether_synthesis,,
C84425,1,,,,C=C(Cl)CI,O=C(CCl)c1ccc(O)c(O)c1,C=C(CI)Oc1cc(C(=O)CCl)ccc1O,Williamson_ether_synthesis,,
C76378,1,,,,N#CC(=NO)C(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,N#CC(=NO)C(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,
C64567,1,,,,CCI,CCC(=O)c1ccc(O)c(Cl)c1,CCOc1ccc(C(=O)CC)cc1Cl,Williamson_ether_synthesis,,
C95794,1,,,,O=C(O)C1CNC1,CC(=O)c1ccc(N)cc1Cl,CC(=O)c1ccc(NC(=O)C2CNC2)cc1Cl,Amidation,,
C65035,1,,,,CCC(=O)c1ccc(O)c(Cl)c1,FCCI,CCC(=O)c1ccc(OCCF)c(Cl)c1,Williamson_ether_synthesis,,
