target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C122392,1,,,,Cn1nc(C(=O)O)c2ccccc21,CC(N)Cc1cocn1,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,Amidation,,
C122406,1,,,,NC(=O)C1CCCNC1,Cc1nc2n(c1CC(=O)O)CCCC2,Cc1nc2n(c1CC(=O)N1CCCC(C(N)=O)C1)CCCC2,Amidation,,
C122444,1,,,,NC(=O)C1CCCNC1,N#Cc1cccc(N)c1,N#Cc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C122445,1,,,,NC(=O)C1CCCNC1,Cc1ccccc1N,Cc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122447,1,,,,NC(=O)C1CCCNC1,COc1ccc(F)cc1CC(=O)O,COc1ccc(F)cc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C125,1,,,,NC(=O)C1CCCNC1,COc1ccncc1CC(=O)O,COc1ccncc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122448,1,,,,CC1CCC(C(N)=O)CN1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,Amidation,,
C122448,1,,,,CC1CCC(C(N)=O)CN1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,Amidation,,
C122448,1,,,,CC1CCC(C(N)=O)CN1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,Amidation,,
C122448,1,,,,CC1CCC(C(N)=O)CN1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,Amidation,,
C122449,1,,,,NC(=O)C1CCNC1,Cn1cc2c(CC(=O)O)cccc2n1,Cn1cc2c(CC(=O)N3CCC(C(N)=O)C3)cccc2n1,Amidation,,
C122450,1,,,,NC(=O)C1CCCNC1,COc1ccc(CC(=O)O)c(OC)c1,COc1ccc(CC(=O)N2CCCC(C(N)=O)C2)c(OC)c1,Amidation,,
C122451,1,,,,Cc1ccccc1N,NC(=O)c1cncc(C(=O)O)c1,Cc1ccccc1NC(=O)c1cncc(C(N)=O)c1,Amidation,,
C122452,1,,,,NCCc1cocn1,Cc1ccc2c(C(=O)O)c[nH]c2c1,Cc1ccc2c(C(=O)NCCc3cocn3)c[nH]c2c1,Amidation,,
C122453,1,,,,NC(=O)C1CCCNC1,COc1c(C#N)cccc1CC(=O)O,COc1c(C#N)cccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122454,1,,,,N,COc1ccccc1CN1CC(C(=O)O)CCC1=O,COc1ccccc1CN1CC(C(N)=O)CCC1=O,Amidation,,
C122454,1,,,,N,COc1ccccc1CN1CC(C(=O)O)CCC1=O,COc1ccccc1CN1CC(C(N)=O)CCC1=O,Amidation,,
C122455,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CCNC1,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,Amidation,,
C122456,1,,,,NC(=O)C1CCCNC1,Cc1cc(N)c2cnn(C)c2c1,Cc1cc(NC(=O)N2CCCC(C(N)=O)C2)c2cnn(C)c2c1,Formation_of_urea_from_two_amines,,
C122457,1,,,,NC(=O)C1CCCNC1,COc1cccc(Cl)c1N,COc1cccc(Cl)c1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122392,1,,,,Cn1nc(C(=O)O)c2ccccc21,CC(N)Cc1cocn1,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,Amidation,,
C122458,1,,,,NC(=O)C1CCCNC1,Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)O,Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122459,1,,,,N,O=C(O)C1CCCN(C(=O)Nc2ccccc2F)C1,NC(=O)C1CCCN(C(=O)Nc2ccccc2F)C1,Amidation,,
C122460,1,,,,NC(=O)C1CCCNC1,Cc1ccccc1CN,Cc1ccccc1CNC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122461,1,,,,NC(=O)C1CCCNC1,CCNC(=O)c1cccc(N)c1,CCNC(=O)c1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C122462,1,,,,COc1ccccc1CC(=O)O,CC1CNCC1C(N)=O,COc1ccccc1CC(=O)N1CC(C)C(C(N)=O)C1,Amidation,,
C122463,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNCCO1,COc1ccccc1CC(=O)N1CCOC(C(N)=O)C1,Amidation,,
C122464,1,,,,NC(=O)C1CNCC(F)(F)C1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)CC(F)(F)C1,Amidation,,
C122465,1,,,,COc1ccccc1CC(=O)O,NC(=O)NC1CCNC1,COc1ccccc1CC(=O)N1CCC(NC(N)=O)C1,Amidation,,
C122466,1,,,,COc1ccccc1CC(=O)O,NC(=O)CC1CCNC1,COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1,Amidation,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122468,1,,,,NC(=O)C1CCCNC1,COc1cccc(Cl)c1CC(=O)O,COc1cccc(Cl)c1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122469,1,,,,Cc1ccccc1N,Cc1ccc(C(=O)O)cc1C(N)=O,Cc1ccccc1NC(=O)c1ccc(C)c(C(N)=O)c1,Amidation,,
C122470,1,,,,NC(=O)C1CCCNC1,CNc1ccccc1OC,COc1ccccc1N(C)C(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122471,1,,,,NC(=O)C1CCCNC1,COc1ccccc1C(OC)C(=O)O,COc1ccccc1C(OC)C(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122472,1,,,,NC(=O)C1CCCNC1,COc1ccccc1C(NC(=O)OC(C)(C)C)C(=O)O,COc1ccccc1C(NC(=O)OC(C)(C)C)C(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122473,1,,,,NC(=O)C1CCCNC1,COc1ccccc1C(N)C(=O)O,COc1ccccc1C(N)C(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122474,1,,,,N,COc1ccccc1CN1CC(C(=O)O)CC1=O,COc1ccccc1CN1CC(C(N)=O)CC1=O,Amidation,,
C122475,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNCCN1,COc1ccccc1CC(=O)N1CCNC(C(N)=O)C1,Amidation,,
C113,1,,,,NC(=O)C1CCCNC1,Cn1cc2c(CC(=O)O)cccc2n1,Cn1cc2c(CC(=O)N3CCCC(C(N)=O)C3)cccc2n1,Amidation,,
C122476,1,,,,NC(=O)C1CCCNC1,COCC1(C(=O)O)CCCCO1,COCC1(C(=O)N2CCCC(C(N)=O)C2)CCCCO1,Amidation,,
C122477,1,,,,N,COc1ccccc1CCN1CC(C(=O)O)CC1=O,COc1ccccc1CCN1CC(C(N)=O)CC1=O,Amidation,,
C122478,1,,,,NC(=O)C1CCCNC1,Nc1ncccc1CC(=O)O,NC(=O)C1CCCN(C(=O)Cc2cccnc2N)C1,Amidation,,
C122479,1,,,,CNCCC(N)=O,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N(C)CCC(N)=O,Amidation,,
C122479,1,,,,CNCCC(N)=O,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N(C)CCC(N)=O,Amidation,,
C122479,1,,,,CNCCC(N)=O,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N(C)CCC(N)=O,Amidation,,
C122479,1,,,,CNCCC(N)=O,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N(C)CCC(N)=O,Amidation,,
C122480,1,,,,NC(=O)C1CCCNC1,O=C(O)C(c1ccccc1)c1ccccc1,NC(=O)C1CCCN(C(=O)C(c2ccccc2)c2ccccc2)C1,Amidation,,
C122481,1,,,,NC(=O)C1CCNC1,O=C(O)Cc1cc(C(F)(F)F)ccc1Cl,NC(=O)C1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,Amidation,,
C122482,1,,,,NC(=O)C1CCNC1,COc1cccc(Cl)c1N,COc1cccc(Cl)c1NC(=O)N1CCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122483,1,,,,NC(=O)C1CCCNC1,COc1ccccc1N,COc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122484,1,,,,NC(=O)C1CCCNC1,Cn1ncc2c(N)cccc21,Cn1ncc2c(NC(=O)N3CCCC(C(N)=O)C3)cccc21,Formation_of_urea_from_two_amines,,
C122485,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CCCNCC1,COc1ccccc1CC(=O)N1CCCC(C(N)=O)CC1,Amidation,,
C122486,1,,,,NC(=O)C1CCCNC1,Cc1cccc(CC(=O)O)c1,Cc1cccc(CC(=O)N2CCCC(C(N)=O)C2)c1,Amidation,,
C122454,1,,,,N,COc1ccccc1CN1CC(C(=O)O)CCC1=O,COc1ccccc1CN1CC(C(N)=O)CCC1=O,Amidation,,
C122454,1,,,,N,COc1ccccc1CN1CC(C(=O)O)CCC1=O,COc1ccccc1CN1CC(C(N)=O)CCC1=O,Amidation,,
C122487,1,,,,NC(=O)C1CCCNC1,COc1ncccc1N,COc1ncccc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122488,1,,,,NC(=O)C1CCCNC1,COc1cccnc1C=O,COc1cccnc1CN1CCCC(C(N)=O)C1,Reductive_amination,,
C122489,1,,,,NC(=O)C1CCCNC1,COc1cccnc1CC(=O)O,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122490,1,,,,NC(=O)C1CCCNC1,CSc1c(Br)cccc1CC(=O)O,CSc1c(Br)cccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122491,1,,,,NC(=O)C1CCCNC1,COc1cccc(N)n1,COc1cccc(NC(=O)N2CCCC(C(N)=O)C2)n1,Formation_of_urea_from_two_amines,,
C122492,1,,,,NC(=O)C1CCCNC1,CC(C)Oc1ccccc1N,CC(C)Oc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122493,1,,,,N,O=C(O)C1CC(=O)N(Cc2cccc3c2OCC3)C1,NC(=O)C1CC(=O)N(Cc2cccc3c2OCC3)C1,Amidation,,
C122495,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNC2(CC2)C1,COc1ccccc1CC(=O)N1CC(C(N)=O)CC12CC2,Amidation,,
C122496,1,,,,NC(=O)C1CCCNC1,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
