target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C98,1,,,,Cn1nc(C(=O)O)c2ccccc21,NCC1Cc2ccccc2CN1,Cn1nc(C(=O)NCC2Cc3ccccc3CN2)c2ccccc21,Amidation,,
C99,1,,,,Cn1nc(C(=O)O)c2ccccc21,Nc1cn[nH]c1,Cn1nc(C(=O)Nc2cn[nH]c2)c2ccccc21,Amidation,,
C100,1,,,,NC1CC1,Cn1nc(C(=O)O)c2cc(F)ccc21,Cn1nc(C(=O)NC2CC2)c2cc(F)ccc21,Amidation,,
C104,1,,,,Cn1nc(C(=O)O)c2ccccc21,NCCc1cocn1,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,Amidation,,
C105,1,,,,Cn1nc(C(=O)O)c2ccccc21,NCc1c[nH]cn1,Cn1nc(C(=O)NCc2c[nH]cn2)c2ccccc21,Amidation,,
C106,1,,,,N,Cc1cccc(NC(=O)N2CCCC(C(=O)O)C2)c1,Cc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,Amidation,,
C107,1,,,,Cn1cc(C(=O)O)c2ccccc21,Cc1cc(CN)on1,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,Amidation,,
C108,1,,,,Cn1nc(C(=O)O)c2ccccc21,COCC(C)N,COCC(C)NC(=O)c1nn(C)c2ccccc12,Amidation,,
C109,1,,,,Cn1nc(C(=O)O)c2ccccc21,NC1CC1CO,Cn1nc(C(=O)NC2CC2CO)c2ccccc21,Amidation,,
C110,1,,,,Cn1nc(C(=O)O)c2ccccc21,NC1CCOC1,Cn1nc(C(=O)NC2CCOC2)c2ccccc21,Amidation,,
C111,1,,,,Cn1nc(C(=O)O)c2ccccc21,NCCn1cncn1,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,Amidation,,
C122391,1,,,,Cn1nc(C(=O)O)c2ccccc21,Cn1cnc(CCN)c1,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,Amidation,,
C122392,1,,,,Cn1nc(C(=O)O)c2ccccc21,CC(N)Cc1cocn1,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,Amidation,,
C122393,1,,,,NCCc1cocn1,c1ccc2c(c1)CCN2,O=C(NCCc1cocn1)N1CCc2ccccc21,Formation_of_urea_from_two_amines,,
C122394,1,,,,O=C(O)Cc1cocn1,Cn1cc2cccc(N)c2n1,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,Amidation,,
C122396,1,,,,NCCc1cocn1,Cc1nn(C)c2cc(C(=O)O)ccc12,Cc1nn(C)c2cc(C(=O)NCCc3cocn3)ccc12,Amidation,,
C122397,1,,,,NC(=O)C1CCCNC1,NCC1CC1,NC(=O)C1CCCN(C(=O)NCC2CC2)C1,Formation_of_urea_from_two_amines,,
C122398,1,,,,NCCc1cocn1,Cn1nc(C(=O)O)c2ccccc2c1=O,Cn1nc(C(=O)NCCc2cocn2)c2ccccc2c1=O,Amidation,,
C122399,1,,,,NCCc1cocn1,O=C(O)c1ccccc1,O=C(NCCc1cocn1)c1ccccc1,Amidation,,
C122400,1,,,,NCCc1cocn1,Cn1ncc(C(=O)O)n1,Cn1ncc(C(=O)NCCc2cocn2)n1,Amidation,,
C122401,1,,,,NC(=O)C1CCCNC1,N#Cc1sccc1CC(=O)O,N#Cc1sccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122402,1,,,,NC(=O)C1CCCNC1,N#CCc1cccc(N)c1,N#CCc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C122403,1,,,,NC(=O)C1CCCNC1,COCc1ccccc1N,COCc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122404,1,,,,NC(=O)C1CCCNC1,COc1cccc(N)c1,COc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C122406,1,,,,NC(=O)C1CCCNC1,Cc1nc2n(c1CC(=O)O)CCCC2,Cc1nc2n(c1CC(=O)N1CCCC(C(N)=O)C1)CCCC2,Amidation,,
C103,1,,,,NC(=O)Nc1cccnc1,COc1ccccc1OS(=O)(=O)C(F)(F)F,COc1ccccc1NC(=O)Nc1cccnc1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,
C122444,1,,,,NC(=O)C1CCCNC1,N#Cc1cccc(N)c1,N#Cc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C122445,1,,,,NC(=O)C1CCCNC1,Cc1ccccc1N,Cc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122447,1,,,,NC(=O)C1CCCNC1,COc1ccc(F)cc1CC(=O)O,COc1ccc(F)cc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C125,1,,,,NC(=O)C1CCCNC1,COc1ccncc1CC(=O)O,COc1ccncc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122448,1,,,,CC1CCC(C(N)=O)CN1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,Amidation,,
C122449,1,,,,NC(=O)C1CCNC1,Cn1cc2c(CC(=O)O)cccc2n1,Cn1cc2c(CC(=O)N3CCC(C(N)=O)C3)cccc2n1,Amidation,,
C122450,1,,,,NC(=O)C1CCCNC1,COc1ccc(CC(=O)O)c(OC)c1,COc1ccc(CC(=O)N2CCCC(C(N)=O)C2)c(OC)c1,Amidation,,
C122451,1,,,,Cc1ccccc1N,NC(=O)c1cncc(C(=O)O)c1,Cc1ccccc1NC(=O)c1cncc(C(N)=O)c1,Amidation,,
C122452,1,,,,NCCc1cocn1,Cc1ccc2c(C(=O)O)c[nH]c2c1,Cc1ccc2c(C(=O)NCCc3cocn3)c[nH]c2c1,Amidation,,
C122453,1,,,,NC(=O)C1CCCNC1,COc1c(C#N)cccc1CC(=O)O,COc1c(C#N)cccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122455,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CCNC1,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,Amidation,,
C122456,1,,,,NC(=O)C1CCCNC1,Cc1cc(N)c2cnn(C)c2c1,Cc1cc(NC(=O)N2CCCC(C(N)=O)C2)c2cnn(C)c2c1,Formation_of_urea_from_two_amines,,
C122457,1,,,,NC(=O)C1CCCNC1,COc1cccc(Cl)c1N,COc1cccc(Cl)c1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122458,1,,,,NC(=O)C1CCCNC1,Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)O,Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122460,1,,,,NC(=O)C1CCCNC1,Cc1ccccc1CN,Cc1ccccc1CNC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122461,1,,,,NC(=O)C1CCCNC1,CCNC(=O)c1cccc(N)c1,CCNC(=O)c1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C122462,1,,,,COc1ccccc1CC(=O)O,CC1CNCC1C(N)=O,COc1ccccc1CC(=O)N1CC(C)C(C(N)=O)C1,Amidation,,
C122463,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNCCO1,COc1ccccc1CC(=O)N1CCOC(C(N)=O)C1,Amidation,,
C122464,1,,,,NC(=O)C1CNCC(F)(F)C1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)CC(F)(F)C1,Amidation,,
C122465,1,,,,COc1ccccc1CC(=O)O,NC(=O)NC1CCNC1,COc1ccccc1CC(=O)N1CCC(NC(N)=O)C1,Amidation,,
C122466,1,,,,COc1ccccc1CC(=O)O,NC(=O)CC1CCNC1,COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1,Amidation,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122468,1,,,,NC(=O)C1CCCNC1,COc1cccc(Cl)c1CC(=O)O,COc1cccc(Cl)c1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122469,1,,,,Cc1ccccc1N,Cc1ccc(C(=O)O)cc1C(N)=O,Cc1ccccc1NC(=O)c1ccc(C)c(C(N)=O)c1,Amidation,,
C122470,1,,,,NC(=O)C1CCCNC1,CNc1ccccc1OC,COc1ccccc1N(C)C(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122471,1,,,,NC(=O)C1CCCNC1,COc1ccccc1C(OC)C(=O)O,COc1ccccc1C(OC)C(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122472,1,,,,NC(=O)C1CCCNC1,COc1ccccc1C(NC(=O)OC(C)(C)C)C(=O)O,COc1ccccc1C(NC(=O)OC(C)(C)C)C(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122473,1,,,,NC(=O)C1CCCNC1,COc1ccccc1C(N)C(=O)O,COc1ccccc1C(N)C(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122475,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNCCN1,COc1ccccc1CC(=O)N1CCNC(C(N)=O)C1,Amidation,,
C113,1,,,,NC(=O)C1CCCNC1,Cn1cc2c(CC(=O)O)cccc2n1,Cn1cc2c(CC(=O)N3CCCC(C(N)=O)C3)cccc2n1,Amidation,,
C122476,1,,,,NC(=O)C1CCCNC1,COCC1(C(=O)O)CCCCO1,COCC1(C(=O)N2CCCC(C(N)=O)C2)CCCCO1,Amidation,,
C122478,1,,,,NC(=O)C1CCCNC1,Nc1ncccc1CC(=O)O,NC(=O)C1CCCN(C(=O)Cc2cccnc2N)C1,Amidation,,
C122479,1,,,,CNCCC(N)=O,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N(C)CCC(N)=O,Amidation,,
C122480,1,,,,NC(=O)C1CCCNC1,O=C(O)C(c1ccccc1)c1ccccc1,NC(=O)C1CCCN(C(=O)C(c2ccccc2)c2ccccc2)C1,Amidation,,
C122481,1,,,,NC(=O)C1CCNC1,O=C(O)Cc1cc(C(F)(F)F)ccc1Cl,NC(=O)C1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,Amidation,,
C122482,1,,,,NC(=O)C1CCNC1,COc1cccc(Cl)c1N,COc1cccc(Cl)c1NC(=O)N1CCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122483,1,,,,NC(=O)C1CCCNC1,COc1ccccc1N,COc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122484,1,,,,NC(=O)C1CCCNC1,Cn1ncc2c(N)cccc21,Cn1ncc2c(NC(=O)N3CCCC(C(N)=O)C3)cccc21,Formation_of_urea_from_two_amines,,
C122485,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CCCNCC1,COc1ccccc1CC(=O)N1CCCC(C(N)=O)CC1,Amidation,,
C122486,1,,,,NC(=O)C1CCCNC1,Cc1cccc(CC(=O)O)c1,Cc1cccc(CC(=O)N2CCCC(C(N)=O)C2)c1,Amidation,,
C122487,1,,,,NC(=O)C1CCCNC1,COc1ncccc1N,COc1ncccc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122488,1,,,,NC(=O)C1CCCNC1,COc1cccnc1C=O,COc1cccnc1CN1CCCC(C(N)=O)C1,Reductive_amination,,
C122489,1,,,,NC(=O)C1CCCNC1,COc1cccnc1CC(=O)O,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122490,1,,,,NC(=O)C1CCCNC1,CSc1c(Br)cccc1CC(=O)O,CSc1c(Br)cccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122491,1,,,,NC(=O)C1CCCNC1,COc1cccc(N)n1,COc1cccc(NC(=O)N2CCCC(C(N)=O)C2)n1,Formation_of_urea_from_two_amines,,
C122492,1,,,,NC(=O)C1CCCNC1,CC(C)Oc1ccccc1N,CC(C)Oc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122495,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNC2(CC2)C1,COc1ccccc1CC(=O)N1CC(C(N)=O)CC12CC2,Amidation,,
C122496,1,,,,NC(=O)C1CCCNC1,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122549,1,,,,NC(=O)C1CCCNC1,CC1(C(=O)O)CCCCO1,CC1(C(=O)N2CCCC(C(N)=O)C2)CCCCO1,Amidation,,
C122550,1,,,,NC(=O)C1CCCNC1,COc1ccc(Cl)cc1CC(=O)O,COc1ccc(Cl)cc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122551,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNCC1C(F)(F)F,COc1ccccc1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,Amidation,,
C122552,1,,,,NC(=O)C1CCCNC1,COc1ccc(C(F)(F)F)cc1CC(=O)O,COc1ccc(C(F)(F)F)cc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122553,1,,,,NC(=O)C1CCCNC1,O=C(O)C1CCc2cccc(Br)c21,NC(=O)C1CCCN(C(=O)C2CCc3cccc(Br)c32)C1,Amidation,,
C122554,1,,,,NC(=O)C1CCCNC1,COc1cc(Cl)ccc1CC(=O)O,COc1cc(Cl)ccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122555,1,,,,NC(=O)C1CCCNC1,COc1ccccc1C(NC(C)=O)C(=O)O,COc1ccccc1C(NC(C)=O)C(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122556,1,,,,NC(=O)C1CCCNC1,O=C(O)C(Cc1ccc(F)cc1)c1ccccc1,NC(=O)C1CCCN(C(=O)C(Cc2ccc(F)cc2)c2ccccc2)C1,Amidation,,
C122557,1,,,,NC(=O)C1CCCNC1,O=C(O)C1CCOc2ccc(Cl)cc21,NC(=O)C1CCCN(C(=O)C2CCOc3ccc(Cl)cc32)C1,Amidation,,
C122558,1,,,,NC(=O)C1CCCNC1,Cc1cc(C)c(CC(=O)O)c(=O)[nH]1,Cc1cc(C)c(CC(=O)N2CCCC(C(N)=O)C2)c(=O)[nH]1,Amidation,,
C122559,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1cnccc1C(F)(F)F,NC(=O)C1CCCN(C(=O)Cc2cnccc2C(F)(F)F)C1,Amidation,,
C122560,1,,,,NC(=O)C1CCCNC1,COc1ccc(NS(C)(=O)=O)cc1N,COc1ccc(NS(C)(=O)=O)cc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122561,1,,,,NC(=O)C1CCCNC1,Nc1ccccc1OCC(F)(F)F,NC(=O)C1CCCN(C(=O)Nc2ccccc2OCC(F)(F)F)C1,Formation_of_urea_from_two_amines,,
C122562,1,,,,NC(=O)C1CCCNC1,CCS(=O)(=O)c1ccc(OC)c(N)c1,CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C122563,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccccc1OC(F)F,NC(=O)C1CCCN(C(=O)Cc2ccccc2OC(F)F)C1,Amidation,,
C122564,1,,,,NC(=O)C1CCCNC1,N#CCc1ccccc1CC(=O)O,N#CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122566,1,,,,NC(=O)C1CCCNC1,CCc1ccccc1CC(=O)O,CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122567,1,,,,NC(=O)C1CCCNC1,Cc1ncccc1CC(=O)O,Cc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122568,1,,,,NC(=O)C1CCCNC1,CSc1cccc(CC(=O)O)c1,CSc1cccc(CC(=O)N2CCCC(C(N)=O)C2)c1,Amidation,,
C122569,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1cccc(Cl)c1Cl,NC(=O)C1CCCN(C(=O)Cc2cccc(Cl)c2Cl)C1,Amidation,,
C122570,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1cccc2c1OCCO2,NC(=O)C1CCCN(C(=O)Cc2cccc3c2OCCO3)C1,Amidation,,
C122571,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1cccnc1O,NC(=O)C1CCCN(C(=O)Cc2cccnc2O)C1,Amidation,,
C122572,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1cc(C(F)(F)F)ccc1C(F)(F)F,NC(=O)C1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2C(F)(F)F)C1,Amidation,,
